region,location_name,user_name,rating,review_text,review_date,source,
Wilayah Bali Utara,Kebun Raya,박미정,4,"가족 연인이 휴식을 즐기기에 좋은곳입니다.
근처 숙소라 들렀는데 부두굴 근처 여러 관광지를 같이 보거나 지나가는 경로에 있다면 방문하는것이 괜찮을 수 있지만 짧은 여행 일정에 이곳만 보려고 멀리서 방문하는것은 추천하지 않습니다.",2025-06-19T08:12:32.495Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,vela kristina,5,,2025-06-19T02:13:22.513Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Sara Kadeeb,5,"Bali Botanical Garden is a breathtaking escape into nature. The lush greenery, fresh mountain air, and diverse plant collections make it a peaceful and refreshing experience. It’s perfect for a quiet walk, a picnic, or just soaking in the natural beauty. The views are stunning, and there’s something calming about being surrounded by such vibrant flora. A must-visit for nature lovers and anyone looking to unwind in Bali’s cooler highlands!",2025-06-18T15:13:41.057Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Cholis Lis,5,,2025-06-18T13:49:26.510Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,ind.p,2,"tiket makin mahal
toilet kotor, pengap, bau
sewa sepeda banyak yg rusak, rem blong...kayak kena scam

untung alam nya masih bagus dan terjaga",2025-06-17T12:03:42.139Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Lucy,5,,2025-06-17T11:53:13.405Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,belawan tingang,4,,2025-06-17T07:10:11.074Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Fidel Ramos,5,Bgus bgt buat nyari ketenangan sm bawa keluarga,2025-06-17T03:53:49.071Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Rizky fadil,5,,2025-06-17T01:27:42.107Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Villa Jambu,4,Tempat bagus dan sejuk sayang setiap kesana selalu toiletnya tidak ada air atau lampu toilet mati,2025-06-16T13:15:31.539Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,iNews Tuban id,5,,2025-06-16T12:57:20.610Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,aidin rezhanoor,5,,2025-06-16T08:56:43.578Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Nina Putu Pradini,5,"Udaranya adem sejuk, hijau semua di depan mata, cocok utk piknik, outbound, hiling dan hilang sebentar. Cuman pas BBQan diserbu lalat banyak bgt, mungkin pas musimnya.

Tidak pernah bosan utk ke sini",2025-06-16T08:05:26.054Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Danielle C,5,,2025-06-16T07:21:48.708Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Nadya Hudaya,5,Great experience. Just make sure not to visit during rainy season,2025-06-16T02:19:09.518Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Suhendri Akmal,5,,2025-06-14T21:45:46.835Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Badut Bali Ceria,5,Dingin,2025-06-14T16:59:28.062Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Siti Arifin,5,,2025-06-14T11:46:50.776Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Agung,5,,2025-06-14T11:04:48.343Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Gede Yudha,5,,2025-06-14T09:33:43.197Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Indra Karunia Murti,5,"Sedari kecil selalu seneng ke tempat ini, masih asri dan harapanya selalu asri untuk kedepanya. Satu note untuk pengelola, mungkin jalan bisa lebih diperbaiki karena cukup banyak yang berlubang",2025-06-14T05:36:22.028Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Ayu Altarisa,5,,2025-06-14T02:27:28.447Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Яна Шолохова,5,"Изумительное место, огромная и ухоженная территория, из-за особенности расположения тут не жарко.
Сколько бы не было людей все как то разбредаются по территории и очень спокойно и тихо.
Вход на двоих нам обошёлся в 40 000 + парковка.",2025-06-13T13:33:30.096Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Criths eman Sumba,5,,2025-06-13T09:38:33.405Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Arisna Nana,5,,2025-06-13T08:18:10.261Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Joshuahn Jackstonburg,4,Peaceful and oxygen-rich - but I prefer the real jungly forests all around Bali,2025-06-12T17:36:10.905Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Marcin Maciejewski,5,"This park is wonderful, truly large and spacious, full of interesting species of plants, trees and animals, quiet, and tremendously beautiful. We've been here a couple of times as we live far south of Bali. Our 1.5-year-old puppy loves the park over the moon! It isn't a must-visit for everyone, as many tourists want to see this full-throttle essence of Bali, which this park is not. It is more about nature, peace, calmness, and sweet moments, such as sitting on the grass surrounded by gigantic trees and seeing mountains and a volcanic lake. But if you love parks, forests, views, picturesque spaces, cooler temperatures, fresh air, and long walks, this place is perfect for 2 hours or half a day. Amazing!",2025-06-12T14:06:43.649Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,yogi saputra,5,,2025-06-12T13:06:53.953Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,K,5,,2025-06-12T12:13:27.010Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Basir Moyo,4,,2025-06-12T08:49:14.839Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Ridho Alhutbi,5,,2025-06-12T06:01:13.985Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,glodia 88,5,,2025-06-12T02:20:05.965Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Wayan Wiratama,5,,2025-06-11T10:24:42.679Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Febri Lestari,5,Absolutely gorgeous and worth the drive to visit this tropical garden,2025-06-11T06:22:41.917Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Aditya Budi Utomo,5,,2025-06-11T03:28:15.025Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,In Dra,5,,2025-06-11T02:41:01.710Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Rstu Adtya,4,Sangat luas dan banyak spot foto dan bersantai. Udara sejuk. Namun pengelola buruk. Toilet sangat kurang terawat. Pelayan kurang ramah terutama di tempat penyewaan scooter/sepeda. Kalau lebih dikelola dengan baik dan fasilitas diperhatikan bakal jadi tempat wisata paling recomended di bali,2025-06-10T20:31:59.567Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Subroto Subroto,5,,2025-06-10T14:05:47.832Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,bebe,5,,2025-06-10T12:58:33.590Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Megawati Horiroh,5,,2025-06-10T11:19:51.351Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Omer Icha,5,,2025-06-10T00:59:54.205Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,agoes boeing,5,,2025-06-09T22:06:19.134Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Hady Susanto,5,,2025-06-09T21:41:36.796Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Made Dana,5,,2025-06-09T09:41:16.555Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Ade Fernandaputra,5,,2025-06-09T09:37:45.780Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Hendra Oktaviano,5,"Amazing place to visit for picnic, nice weather and epic landscape view.",2025-06-09T05:25:38.485Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Aprilia Rahmawati,5,,2025-06-09T04:13:47.732Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Amir Ibatullin,5,"Stunning views, must visit place",2025-06-09T02:20:39.718Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,John Locke,5,,2025-06-08T16:46:36.426Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,ERWIN STIADI,5,,2025-06-08T10:14:11.573Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Amri Rahman,5,,2025-06-08T09:10:35.836Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Aleksandr Danilevsky,5,,2025-06-08T06:02:04.706Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,ANAK AGUNG SAGUNG MAS PRADNYA PRANISWARI,5,,2025-06-08T04:52:45.858Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,siti juma,5,Sejuk asri,2025-06-08T03:37:54.616Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Hadiman Syah,3,Pengecekan security nya terlalu berlebihan masak ngecek sampai ke kursi penumpang yg ditengah..kayaknya kurang sopan saya lihat caranya...cukup ceknya dibelakang aja SDH cukup menurut saya,2025-06-07T14:17:59.504Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Padly Robby,5,Keren,2025-06-07T03:55:48.501Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,ro ko,5,Beautiful green and clean place with fresh air. Perfect for a walk or to calm down... Even when I've been here often I discover something new every time.,2025-06-07T01:21:38.211Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,adiputra sanjaya,5,,2025-06-07T00:14:57.592Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,putubudiana,5,,2025-06-06T08:24:05.322Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Marcel Rueben,5,,2025-06-06T06:34:18.591Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Prama Werdi,4,,2025-06-05T22:45:30.067Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Ninung Ajah,5,,2025-06-05T04:46:54.375Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Pancer Sinaga,5,,2025-06-04T21:48:16.206Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Kang Dexxter,5,,2025-06-04T15:26:22.371Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Sri Laksmi,5,,2025-06-04T14:55:08.823Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Andi Irawati Bachtiar Mks,5,,2025-06-04T11:08:38.319Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Gianluca Broglio,3,Nothing special,2025-06-04T08:24:40.594Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Karl-Heinz Albrecht,2,"Der Park ist leider total veraltet. Der Kakteengarten ist toll, hergerichtet, der Ficus Baum sehr attraktiv. Der Rest leider sehr sehr veraltet und nicht empfehlenswert.",2025-06-04T05:55:19.583Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Yohan,4,,2025-06-04T05:14:42.022Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Muhammad Ibrahim,5,,2025-06-04T04:21:54.670Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,zippora galuh jaya,3,,2025-06-03T20:20:36.522Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Nyoman Satriya,1,"tempat nya bagus dan indah
tetapi sepedanya buluk jelek gak layak pakai tolong perbarui sepeda disana apalagi temen saya menabrak orang hingga tangan nya patah.rem sepadanya blong habis itu rodanya geol geol jelek banget dah sepeda nya",2025-06-03T09:41:24.845Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Eka Sudewa,5,,2025-06-03T09:32:37.652Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Nicolas G,5,Endroit paisible,2025-06-02T04:52:10.256Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,dita ayu,5,,2025-06-02T04:03:20.604Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Sastra,5,,2025-06-01T22:41:02.074Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,I am Wisnoe,5,,2025-05-31T13:04:45.354Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,IWayan Eka Putra,5,,2025-05-31T12:44:13.393Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Agus 333,4,tempat santai udaranya sejuk,2025-05-31T09:39:40.542Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,dandung sriyadi,5,,2025-05-31T06:18:56.911Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,MadeWisma5758,5,,2025-05-31T06:08:29.323Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Julia Ha,5,,2025-05-30T17:58:16.723Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,I Wayan Oky Suadnyana 23,5,Tempat liburan yang sangt bagus selain pantai di bali,2025-05-30T13:35:04.986Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Tri,5,,2025-05-30T11:06:52.819Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Carlo Surya,5,,2025-05-30T04:55:36.075Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,milayuu 13,2,"yg jaga disewa sepedanya gak ramah bangett, didepan customer bilang ""naskleng"" ""cicing"" walaupun lagi ngobrol sama temennya, tpi kesannya gak sopan mana keras banget ngomongnya, dan pas ditanya pun jawabannya ketus bangett anj",2025-05-29T03:25:12.672Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,imanuel prasetyo,5,,2025-05-29T02:26:43.873Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Indah,5,,2025-05-28T13:07:56.003Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Sagung Ratih,5,Bedugul yang sekarang makin berkembang ya ada satel busnya dan penyewaan sepeda listrik trus yang ngajak anak-anak jangan khawatir kelaperan karena ada stand-stand makanan disana,2025-05-28T10:50:00.578Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Putu Sanitha Jayanti,5,,2025-05-28T07:57:59.498Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Dwi Oktaviani,4,"Untuk weekdays tidak diperbolehkan membawa mobil ke dalam Kebun, untuk weekend diperbolehkan membawa mobil ke dalam kebun, untuk weekdays guest dialihkan untuk menggunakan shuttle yg sudah mereka siapkan, dengan sistem berbayar, dan didalam kebun sudah ada tenant makanan jdi tidak perlu bingung mencari makanan saat dikebun.
Untuk kebersihan terjaminn bersih.",2025-05-28T05:36:56.029Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Cerine Khosasi,5,Bagusss,2025-05-27T13:02:42.115Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Arya Andita,5,"Tempat refresing yang menyenangkan, akan lebih indahnya mohon untuk memperbaiki jalan yang rusak.",2025-05-27T11:13:31.935Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,evi cho,5,,2025-05-27T02:54:10.892Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,sura legawa,3,"Harusnya bukan kompor yng kena biaya tambahan, tp yng bawa speaker nyetelnya kenceng2,, gak smua orang seneng denger suara fals,,
Pengen tenang nyantai ada rombongan bawa speaker kenceng dtng, terpaksa pindah k tempat yng lebih tenang",2025-05-27T01:50:33.850Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Evan Perumal,4,,2025-05-26T02:04:59.529Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Георгий,3,"Оценка 3 звезды включает в себя крайнее неудовлетворение качеством велосипедов - это тихий ужас. Стоимость 35к в час, при этом на велосипеде просто нереально подняться в гору, не работают переключатели скоростей, пришлось около часа таскать велосипед с собой. По-хорошему стоимость этой услуги (-35), то есть вам должны заплатить за то, что вы тащите за собой ржавый и древний байк, которому лет столько же, сколько этому парку. Пожалуйста, не позорьтесь и замените велопарк, текущие варианты нужно выкинуть или сдать в металлолом.

Сам по себе парк отличный и виды шикарные, особенно вид на озеро.",2025-05-25T06:44:45.487Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,ivan mogilnichenko,5,Самое красивое место что я видел на Бали советую приезжать в 8:00 пораньше и взять электрический байк в аренду внутри на час проехать весь парк на нем и потом ещё пройтись пешком часок байки стоят на 25 мая 2025 года 75к за час :),2025-05-25T02:58:03.823Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Trevor Davies,5,Great place to visit with fantastic gardens and views. Would probably need about 2 days to see everything. Good maps to guide you.,2025-05-24T11:48:51.036Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Cahya Rossiani,5,,2025-05-24T04:15:11.789Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Rohimatur Rizqiyah,5,,2025-05-23T15:20:35.738Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Muma Lombok breeze,5,,2025-05-23T14:51:48.154Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Lagu Bali Kenangan,5,"Sejuk dan nyaman, pemandangan danau yg indah",2025-05-22T23:41:25.862Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Fabulous World,5,Amazing place to get some silence and have a nice walk.The nature there is amazing.Go during the week as the week-end this is packed.,2025-05-22T23:38:20.625Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Boby Tan,5,,2025-05-22T14:01:25.971Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Andre Yoga,5,,2025-05-22T05:48:49.411Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Pande Adityo,5,,2025-05-22T02:32:54.550Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Putu Widianingsih,5,One of the best place lah pokoknya kalau mau picnik santai bareng keluarga cuma pas musim liburan datang pastinya disini rame banget kurang enak bagusan pas low season atau weekday atau weekend yg ndk barengan sama hari libur besar,2025-05-21T16:37:28.353Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,made agus saputra,5,,2025-05-21T16:25:34.827Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,R v Maanen,1,"Als toerist hadden wij hoge verwachtingen, helaas. De Botanische tuin viel enorm tegen. Veel mensen waren aan het picknicken. De meeste planten zagen er slecht en onverzorgd uit. Ik zou hier zeker niet nogmaals naartoe gaan.",2025-05-21T12:22:34.596Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Lely Lestari Wijaya,1,"Kebun raya sekarang ini merupakan trap bagi warga lokal yang mau sekedar berlibur dan piknik di sana. Segala barang bawaan anda akan di charge. Saat weekdays mobil tidak boleh masuk dan anda harus naik shuttle seharga 30 ribu per orang yang hanya mengantarkan anda ke satu destinasi dan menjemput anda kembali. Aturan yang paling lucu, jika anda membawa nasi bungkus/nasi kotak anda akan dikenakan charge 10 ribu per bungkus/kotak. Staff manager di sana bilang, kebun raya mencharge barang barang/fasilitas jasa yang mereka jual. Membawa Sepeda dan sepeda listrik pun sekarang di charge. Semua perusahaan memang berhak memiliki aturan masing masing. Tapi aturannya yg diterapkan kebun raya saat ini seperti memeras pengunjung dan hanya ingin keuntungan cepat. Destinasi wisata yang sudah lama sudah bukan untuk masyarakat Bali lagi sekarang.
Lebih baik hindari tempat ini. Aturannya memberatkan dan sungguh di luar nalar",2025-05-21T08:48:06.145Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Salma RHOUT,5,,2025-05-21T04:39:45.010Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Yoga pratama,5,,2025-05-20T12:27:23.253Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Daniela Parisi,5,Beautiful experience,2025-05-20T09:32:04.696Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Maria Ella,5,Recomended buat liburan bersama keluarga ☺,2025-05-20T08:17:13.627Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Ama Iron,5,,2025-05-20T08:11:16.547Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Made Arnaya Driver,5,,2025-05-20T07:58:25.316Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,irma thamrin,5,,2025-05-20T06:50:30.447Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Komang Evic,5,Tempat untuk piknik terbaik dibaliluas dan bisa keliling kebun pake mobil pribadi.agak masuk kedalem hutan untuk cari view danaunya.cm kalau weekend lumayan antre dipintu masuknya.dan cuaca jg kadang bisa hujan tiba2.,2025-05-20T06:18:17.197Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,made sudarmana,5,,2025-05-19T12:51:32.009Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Dewa Darmendra,5,,2025-05-19T09:07:17.610Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Adelia Patra,4,Will be back again,2025-05-19T07:33:00.019Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Ika Ristiana Putri,5,"tempat yang cocok untuk bersantai dg menikmati alam
sekarang untuk tiket masuknya mobil 30.000, dan tiket dewasa 25.500/org
jika ingin kesana mungkin disarankan naik kendaraan roda 4, karena jika dengan kendaraan roda 2 akses jalan lumayan jauh, tetapi disana juga menyediakan sewa sepeda jadi mempermudah akses untuk keliling disana
saran untuk perawatan hutan pinus lebih diperhatikan lagi, dan akses jalan menuju pemandangan danau diperbanyak tanda panah agar tidak kebingungan, karena akses lumayan jauh",2025-05-18T13:11:13.752Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Ari Natha,5,,2025-05-18T10:52:51.434Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Uhn Sisk,5,,2025-05-18T10:04:25.779Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,rolinus sabuna,5,"Tempat nya sejuk,nyaman pokonya keren kalau liburan ke sana. Tiket masuk Rp 25.500 sudah bisa kliling semua tapi karna sdah hampir hujan jadi ngak sempat ke spot foto yang lain",2025-05-18T08:16:16.001Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Doddy Setiawan,4,,2025-05-17T13:43:00.645Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,sutrawan performance,5,,2025-05-17T02:22:19.216Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Nadi Effendi,5,Bagus sekali,2025-05-16T22:13:34.836Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,tito wibisono,5,apakah rombongan dengan memakai bis besar bisa masuk untuk rute menuju kebun raya dan tersedia kah parkir bisnya..?,2025-05-16T16:07:13.813Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Nengah Dwi julianto,5,,2025-05-15T03:15:59.584Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Nisa Ramadhani,5,Enak sejuuk bagus tempatnyaa,2025-05-14T23:50:14.276Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Dmitry Matskevich,5,,2025-05-14T09:31:58.698Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Ni Kadek Novi Yanti26,5,"Udah lama banget gak ke kebun raya bedugul, hebat ya pemerintahnya daerah sana kondisinya masih tergolong sejuk, bersih, nyaman dan aman. untuk area pasarnya pun tergolong bersih dan tertata.
pasti bakal balik kesini lagi",2025-05-14T06:00:59.981Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Juli Anto,5,Tempatnya sejuk....udara segar jauh dari kebisingan... good place for healing,2025-05-14T04:58:55.327Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Muliawan QP,5,Kebun Raya yg indah.,2025-05-13T15:20:33.295Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Gaetan Ronval,5,"Je recommande, paisible pour se balader et ça change des attrapes touristes.",2025-05-13T13:20:14.130Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Artemis Lupita,5,Udara yang sejuk dan tempat yg sangat bagus untuk bersantai bersama keluarga,2025-05-13T06:12:15.326Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Max Nik,5,"Хорошее место для посещения, особенно если окажителс в этих краях. Большая территория с частью тропического леса. Есть возможность арендовать велосипед или электросамокат. На территории есть кафе где можно перекусить. Стоимость небольшая и можно отлично провести 2 ~3 часа жизни в красивом месте .",2025-05-13T00:11:32.927Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Muhammad Ansar,5,,2025-05-12T23:09:28.674Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Garry Johnston,5,Maybe the best place in KL. Very quiet but wildlife was great,2025-05-12T18:15:50.602Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,vicky nuriyansah,5,,2025-05-12T15:38:43.845Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Rumah Musik Creative,5,,2025-05-12T06:05:56.189Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Aramata Ta,5,,2025-05-12T04:56:04.969Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,2A_041_ Ni Luh Putu Setyawati Pinatih,5,,2025-05-11T22:49:20.870Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,fanny novia,4,seperti swiss,2025-05-11T21:35:42.770Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Tut Bayu,5,,2025-05-11T14:35:04.145Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Bambang Aribowo,5,Cocok jadi tempat buat bermalas malasan,2025-05-11T13:56:28.436Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Thoriq Ahmadi,5,"Bagus asri, spot foto banyak, bisa main dan piknik",2025-05-11T11:02:56.845Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Bang Roni,5,Good,2025-05-11T10:24:29.123Z,Google Maps,
